latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,type,species,sumAtRisk,sumCases,sumDeaths
-23.9989,21.78,Africa,Botswana,Kgalagadi,Hukuntsi,Exact,08-08-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,50,8,5
23.8572,120.288,Asia,Taiwan (Province of China),Taiwan Sheng,"Dacheng township, Changhua county",Exact,08-08-2015,08-24-2015,Confirmed,Influenza - Avian,Domestic, Chicken,38000,5312,5312
6.5583,3.51977,Africa,Nigeria,Lagos,Vicdumez farm,Exact,08-08-2015,08-12-2015,Confirmed,Influenza - Avian,Domestic, Chicken,900,238,238
6.45583,3.21958,Africa,Nigeria,Lagos,"Aiyedoto, Ojo",Exact,08-06-2015,08-17-2015,Confirmed,Influenza - Avian,Domestic, Chicken,500,22,22
-24.6464,25.9119,Africa,Botswana,South-East,Extension 16,Exact,08-05-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,100,8,7
-24.5736,25.9666,Africa,Botswana,South-East,Sebele,Exact,08-04-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,140,2,1
32.9326098386,35.3538839746,Asia,Israel,Northern,"SHEZOR, Acco",Exact,08-03-2015,09-16-2015,Confirmed,Newcastle Disease,Domestic, Chicken,3000,0,0
32.9549853478,35.4565872414,Asia,Israel,Northern,KEFAR SHAMMAY,Exact,08-03-2015,09-16-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2300,0,0
5.56605,-0.32058,Africa,Ghana,Greater Accra,Weija,Exact,08-01-2015,08-14-2015,Confirmed,Influenza - Avian,Domestic, Chicken,2357,957,957
-24.8667,25.8167,Africa,Botswana,South-East,Ramotswa,Exact,07-31-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,620,110,80
-20.8564,27.6743,Africa,Botswana,North East,Siviya,Exact,07-30-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,35,23,20
7.43787,3.77219,Africa,Nigeria,Oyo,"Omi Addio, Ani Victor Farm",Exact,07-30-2015,08-12-2015,Confirmed,Influenza - Avian,Domestic, Chicken,319,284,284
7.4337,3.84138,Africa,Nigeria,Oyo,Vision Faith Farm,Exact,07-30-2015,08-12-2015,Confirmed,Influenza - Avian,Domestic, Chicken,633,367,367
6.613857,3.569331,Africa,Nigeria,Lagos,Ikorodu,Centroid Admin2,07-30-2015,08-06-2015,Confirmed,Influenza - Avian,Domestic, Chicken,41476,946,946
5.350378,-4.075573,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Gourou Yopougon banco,Exact,07-29-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,600,7,0
